******************************
**** Vocabulaire DUOLINGO ****
******************************

**********************
*** Les sentiments ***
**********************

Je suis désolé		Lo siento
Je n'ai pas commandé ceci 				No pedi eso 
J'ai reçu votre lettre					Recibi su carta 
Elle, elle a déjà 						Ellz ya decidio 
Lui il ne m'a pas demandé				El no me pregunto 
Elle a quitté ce pays					Salio de ese pais 
Lui il a porté mon manteau 				El llevo mi abrigo 
Je ne vous ai pas demandé 				No le pregunte a usted
Moi j'ai regardé par la fenêtre			Yo miré por la ventana 
Ils n'ont jamais voulu ma photo			Jamas quisieron mi foto
Elle a déjà décidé						Ya decidio 
Il ne lui a pas plu						A ella no le gusto el 
Nous n'avons même pas une radio 		Ni siquiera tenemos un radio 
Je vous ai aimé							Lo quisé 
Je l'ai vu il y a peu					Lo vi hace poco 
Est-ce que tu as un chien ?				Tuviste un perro ?
Moi j'ai déjà décidé					Yo ya decidi 
Je ne vous ai pas demandé				No le pregunte a usted 
Elle, elle a regardé par la fenêtre		Ella miro por la ventana 
Lui il ne sait même pas 				El ni siquiera sabe 
J'ai mis celà 							Me puse eso 
Il est venu après qu'elle est partie	Vino despuès ella fue / que se fue 
Elle a essayé							Intento
Je n'ai pas commandé ceci				No pedi esto 
Elles ont commencé ceci 				Empezaron esto 
J'ai été un bébé						Fui un bebe 
Je l'ai laissé sur la table				Lo dije en la mesa 
J'ai parlé à la mère il y a 7 jours		Hablé con mi madre hace siete dias 
Il est arrivé après que je suis parti 	llego despus que me fui  
Je suis sorti du bureau					Sali de la oficina 
Ils m'ont tenu pour responsable			Me hicieron responsable 
Où as tu entendu celà ? 				Donde oiste eso ? 
Nous avons aimé cet hôtel				Nos gusto este hotel      

***************************************
*** Utiliser les pronoms possessifs ***
***************************************

Ce jus est à toi						Este jugo es tuyo
Ce pull bleu est à moi					Ese suéter azul es mio 
Ces livres ci sont à nous 				Estos libros son nuestros 
Cette cravate ci est à moi 				Esta corbata es mia	
C'est un ami à elle						Es un amigo suyo 
Pablo est un ami à moi					Pablo es un amigo mio 
Eux sont des amis à moi 				Ellos so amigos mios 
Est-ce une amie à toi ?					Es una maiga tuya ?
C'est une amie à elle					Es una amiga suya 
Bois ton lait, mon fils					bebes tu leche, hijo mio 
Lui, il a mis le livre sur la table		El puso el libro sobre la mesa 

**************************************************
*** Faire des commentaires, utilise les modaux ***
**************************************************

J'aime le thé							Me gusta el té 
Il aime son travail						A el le gusta su trabajo 
Il vit seul								Vive solo 
Je n'aime pas l'école					No me gusta la escuela 
Toi, tu ne réponds pas					Tu no me respondes 
Que lui arrive-t-il ?					Qué le pasa ?
Elles, elles vivent en Argentine		Ellas vien en Argentina 
Moi, je veux manger						Yo quiero comer 
Mon cousin veut être ingénieur			Mi primo quiere ser ingeniero 
Elle ne peut pas dormir					No puede dormir 
Toi tu peux travailler					Tu puedes trabajar 
Peux tu fermer la porte ?				Puedes cerrar la puerta ? 
Je doute								Dudo 
Je me demande							Me pregunto 
Nous devons de l'argent 				Debemos dinero 
Ils nous doivent un poulet				Nos deben un pollo 
L'homme demande du vin 					El hombre pide vino 
J'aime les jupes						Me gustan las faldas 
Moi je sauve mon voisin					Yo salvo a mi vecino 
Nous sommes revenus très tard			Regresamos muy tarde 
Je remplis la bouteille d'eau			Lleno la botella de agua
Lui, il ne me demande jamais			El nunca me pregunta 
Lui, il achète le pain avec une pièce	El compra el pan con una moneda 
Il pleut ! 								Llueve ! 
Elle, elle arrête						Ella para 
Que possède-t-il ?						Qué posee ? 
Moi, je ne le permets pas				Yo no lo permito 
Eux, ils mélangent du jus et du lait	Ellos mezclan jugo y leche 
La fête continue encore					La fiesta aun continua 
D'accord ? 								Vale ?
Je dépense de l'argent					Gasto dinero 
Eux, ils nous considèrent comme leurs amis	Ellos nos consideran sus amigos 
Quelques animaux vivent la nuit			Algunos animales viven de noche 
Il roue vite							Maneja rapido 
Elle, elle coupe du pain				Ella corta pan 
Combien coûte-t-il ? 					Cuanto cuesta ? 
Lui il comprend le livre 				El entiende el libro 
Eux ils vainquent leurs ennemis			Ellos derrotan a sus ennemigos 
La défaite								La derrota 
Eux, ils ne conduisent jamais cette voiture	Ellos nunca manejan este coche 
Je le refuse							Lo rechazo 
ça te touche ?							Te afecta ?
Me laisses-tu ici ? 					Me dejas aqui ?
Où je les laisse ?						Donde los dejo 
Lui il attrape son chapeau				El alcanza el sombrero 
Le couteau atteint le mur				El cuchillo alcanza la pared 
Il désire un bon repas					Desea una buena comida 
Que lui arrive-t-il ? 					Qué le pasa ? 
Moi je vole								Yo vuelo	
Elles mettent des robes					Se ponen vestidos 
Il perd son pantalon					Pierde su pantalon 
Lui il consulte Luis					El consulta con Luis 
Ne consultez-vous pas votre épouse ? 	Usted no consulta con su esposa ? 
Lui, il termine son repas 				El termina su comida 
Elle, elle marche						Ella anda 
Je crois en lui							Créo en el 
appartient								partenece 
Je me repose							Descanso 
Le stand de tir 						La galeria de tiro 
Lui, il tombe de son cheval				El cae de su caballo 
Elle, elle tourne						Ella gira 
Vous me soignez							Usted me cura 
Moi, je hais le café					Yo odio el café 
Il croit mon fils						Le cree a mi hijo 
Doutes-tu de moi ?						Tu me dudas ? 
Nous nous levons						Nos levantamos 
Eux ils appelent la police				Ellos llaman la policia 
Je reviens dans 2 mois 					En dos meses regreso 
Tu me plais								Me gustas 
J'aime votre caméra						Me gusta tu camara de video 
J'aime la soupe							Me gusta la sopa 
Qu'ajoutes-tu ?							Qué anades ?
Non, il ne pleut pas					No, no llueve 
Pour mon fils ? 						Para mi hijo ? 
Je continue depuis lors					Continuo desde entonces 
Combien gagnes-tu par heure ? 			Cuanto ganas por hora ? 
Le plat contient du riz					El plato contiene arroz 
Que vaut mon manteau ?					Qué vale mi abrigo ?
Lui, il me considère comme un ami 		El me considera un amigo 
Elle, elle me considère comme son frère	Ella me considera su hermano 
Ils ne me comprennent pas				No me entienden 
Dix ans après la grande défaite			Diez anos despues de la gran derrota 
Ceci intéresse beaucoup de gens			Esto interesa a mucha gente 
L'animal intéresse les enfants			El animal les interesa a los ninos 
La fille améliore sa lettre				La chica mejora su carta 
J'observe Pedro							Observo a Pedro 
Maintenant, il essaye ceci				Ahora, el intenta esto 
Vous vous exprimez comme/tel un poète	usted se expresa como un poeta 
Elle, elle s'exprime bien 				Ella se expresa bien 
Moi, je n'utilise pas l'ordinateur		Yo no uso la computadora 
Ma mère me traite comme un enfant		Mi madre me considera como a un nino 
Lui, il ne traite pas bin Daniel		El no trata bien a Daniel 
Elle me croit toujours					Todovia me cree 
L'homme appelle sa femme				El hombre llama a su esposa 
Comment s'appelle-t-il ? 				Como se llama ? 
A qui dois-je penser ?					En quien debo pensar ?
Peux-tu ouvrir la fenêtre ? 			Puedes abrir la ventana ?
Moi, je veux rester ici					Yo me quiero quedar aqui
Ceci doit rester entre nous				Esto tiene que quedar entre nosotros
Je viens de finir une lettre			Acabo de terminar una carta 
Il a du finir ce travail hier			Tuva que terminar ese trabajo ayer 
Il faut qu'il ferme la fenêtre			Tiene que cerrar la ventana 
Tes clés doivent être sur la table		Tus llaves deben de estar sobre la mesa 
Ils ont commencé à le répéter vendredi	El viernes ellos lo empezaron a repetir 
Je suis sur que tu as beaucoup plus à donner	Estoy seguro de que tienes mucho mas para dar 
Quelle est ta question ? 				Cual es tu pregunta ? 
La pomme de terre 						La papa / patata 
Elle arrête								Ella para 
Il pleut								Esta lluviendo ! 
Est ce qu'il pleut encore ? 			Todovia llueve ?
Eux ils ne savent pas où nous vivons	Ellos saben donde vivimos 
Où vivez vous ?							Donde viven ustedes ? 
C'est vraiment une jupe courte			Es realmente una falda corta 
Eux, ils laissent leurs repas			Ellos dejan sus comidas 
Il ne se passe rien 					No pasa nada 
Le couteau atteint l'homme				El cuchillo alcanza al hombre 
Je ne m'exprime pas bien 				Yo no me expreso bien 
Lui il se lève 							El se levanta 
Celà fait de la poussière				Eso leventa polvo 
Il a besoin de moi 						Me necesita 
Je hais mes voisins 					Odeo a mis vecinos 
Lui, il soigne ma soeur					El cura a mi hermana 
Lui, il travaille aussi pour la radio	El trabaja tambien para la radio 
Certains auteurs aiment ce livres		A ciertos autores les gusta ese libro 
Je lis car j'aime le livre				Leo, ya que me gusta el libro 
Je vous demande 						Lo pido 
Et si ils tombent du toit ? 			Y si se caen del techo ? 
Durant la nuit, je me repose			Durante la noche, descanso 
Le petit graçon jette la soupe par terre 	El nino tira la sopa en el piso 
L'homme attend sa femme 				El hombre espera a su mujer 
Lui, il sort 							El sale 
Lui, il appelle son épouse 				El llama a su esposa 
J'aime bien Ana 						Ana me cae bien 
J'attends mes enfants 					Espero a mis hijos 
Je dépense mon argent dans celà 		En eso gasto mi dinero 
Ta tante le permet						tu tia lo permite 
Il aime la boulangerie où je travaille	Le gusta la panaderia donde trabajo 
Mon avion vole vers la France			Mi avion vuela hacia Francia 
C'est mauvais pour l'humanité			Es malo para la humanidad 
Sommes nous en couple ? 				Somos un pareja ? 
Combien sont-ils sur le territoire ? 	Cuantos son en el territorio ? 
Après le mariage 						Despuès del matrimonio 
Mais la population reste très pauvre	Pero la poblacion queda muy pobre 
Je suis ici seulement pour ça			Estoy aqui solamente par a eso 
Comment être juste ? 					Como ser justo ? 
Elle, elle vient de boire du vin 		Ella acaba beber vino 
Ana semble être bien maintenant			Ana parece estar bien ahora 
Dois-je dormir ? 						Debo dormir ? 
Ils peuvent toujours					Siempre pueden 
Je peux tout lire 						Lo puedo leer todo 
Il sait au moins lire					El sabe al menos leer 
Voir plus haut							Ver mas alto 
Elle, elle n'a pas à travailler 		Ella no tiene que trabajar
Ceci je ne peux pas te le donner 		Eso no te lo puedo dar 
Tu dois le répéter tous les jours 		Lo tienes que repetir a diario 
Elle, elle peut nous donner sa voiture	Ella nos puede dar su coche 
Ma mère aimme beaucoup le thé 			A mi madre le gusta mucho el té 
Elle, elle a un sac plein				Ella tiene una bolsa llena de eso 
veux-tu être ma fiancée ? 				Quieres ser mi novia ? 
Mon frère doit dormir 					Mi hermano debe de dormir 
Peux-tu le répéter, s'il te plaît ? 	Lo puedes repetir por favor ? 
En sortant de la station, j'ai vu une souris	Al salir de la estacion, vi un raton 
Comment puis-je porter celà ? 			Como puedo llevar eso ? 
Elle ne va jamais nager 				Ella jamas va a nadar 
A qui dois-je penser ? 					En quien debo pensar ? 
Lui, il a laissé tombé la caisse		El dejo caer la caja 
Tu as repris du café 					volviste a tomar café 
Celà m'a fait penser à mon frère		Eso mi hizo pensar en mi hermano 
Les enfants doivent boire 				Los ninos tienen que tomar 
Je dois sortir							Tengo que salir 
Il sait au moins lire 					El sabe al menos leer 
Je viens juste de terminer une carte 	Yo justo acabo de terminar una carta 
Elle, elle est capable de manger		Ella es capaz de comer 
Parfois celà peut être complètement rouge 	a veces puede estar enteramente roja 
Elle a donné du lait à un chat			Dio leche a un gato 
Elle m'a donné une chemise 				Ella me dio una camisa 
moi je suis de l'ouest					Yo soy del oeste 
La femme a demandé du vin				La mujer pidio vino 
Sinon, moi je bois du café				Si no, yo tomo café 
Le journaliste a bien expliqué 			La periodista explica bien 
J'ai un appartement						Tengo un departamento 
Moi, je vois la tour depuis ma maison 	Yo veo la torre desde mi casa 
Il doit manger davantage				Tiene que comer mas 
Moi, je ne peux pas boire cette chose	Yo no puedo beber esa cosa 
Je dois partir							Tengo que salir 
Je veux voir mon fils maintenant		Quiero ver a mi hijo ahora 
Il m'a laissé travailler dans son bureau	Me dejo trabajar en su oficina 
Tu peux emmener ton chat à l'hôtel		Puedes llevar tu gato al hotel 
Elle, elle ne va jamais nager			Ella jamas va a nadar 
Je viens de terminer une lettre 		Acabo de terminar una carta 
Puis je avoir le menu, s'il vous plaît ? 	Puedo tener el menu por favor ?
La jupe plaît aux filles 				A las chicas les gusta la falda
Les soldats sautent du bateau			Los soldados saltan del barco 

*********************************************
*** Parle au futur, décris des situations ***
*********************************************

Nous allons aider mon frère				Vamos a ayudar a mi hermano 
Eux, ils ne vont pas gagner				Ellos no van a ganar
Vas-tu lire ce livre ? 					Vas a leer este libro ? 
Non, moi je vais dormir 				No, yo voy a dormir 
Qui va payer ? 							Quien va a pagar ? 
Qu'allons nous manger ? 				Qué vamos a comer ? 
Ta chemise est propre					Tu camisa esta limpia 
C'est étrange 							Es extrano 
La banque n'est pas ouverte le dimanche	El banco no es abierto el domingo 
C'est très simple 						Es muy sencillo 
Ta famille est intéressante				Tu familia es interesante	 
C'est très commun						Es muy comun 
Nous allons la chercher					La vamos a buscar / Vamos a buscarla
Je vais vous compter					las voy a contar 
Moi,je vais te montrer					Yo te voy a mostrar 
Cela va m'aider							Esto me va a ayudar 
Allez vous chercher une maison ? 		Usted va a buscar una casa ? 
La grand-mère dit que tu ne vas jamais revenir	La abuela dice que no vas a regresar prunto 
Mes parents vont me chercher à l'aéroport	Mis padres me van a buscar al aeropuerto 
Je crois que je vais rester ici 		Creo que voy a quedarle aqui 
Elle, elle vit aujourd'hui principalement en France 	Ella vive hoy en dia principalmente en Francia 
Malade									Enfermo 
C'est sale 								Esta sucio 
Je suis fatiguée						Estoy cansado 
Cette maison est spacieuse				Esta casa es amplia 
C'est le premier et dernier jour		Es el primer y ultimo dia 
Ils sont nombreux 						Son numerosos 
Eux, ce ne sont pas mes vrais parents	Ellos no son mis verdaderos padres 
C'est son bonbon 						Es su dulce 
Mon père est célèbre					Mi padre es famoso 
Elle est bien plus anicenne				Es mucho mas antigua 
C'est une date historique 				Es una fetcha historica 
Ton chapeau est sombre 					Tu sombrero es oscuro 
Tu es la personne adéquate 				Eres la persona adecuada 
Elle est efficace						Ella es eficaz
Elle est parfaite						Ella es perfecta 
C'est une fête privée					Es una fiesta privada 
Les canards sont vivants				Los patos estan vivos 
Le riz est pauvre en sel 				El arroz es escado de sal 
C'est faible							Es debil 
çà m'est égal							Me da igual
Il fait noir depuis						Esta oscuro desde entonces 
Toi tu n'as pas à être si formel		Tu no tienes que ser tan formal 
Ceci va m'aider							Esto me va a ayudar 
Il lave le linge sale					Limpia la ropa sucia 
Le singe-linge est disponible en noir	la secadora est disponible en negro 
Vous êtes fatiguée						Usted esta cansado 
On tombe malade							Nos enfermos 
Un premier policier est arrivé			Un primer policia llego 
Mes petites soeurs 						Mis hermanas menores 
Nous sommes à l'étage inférieur			Estamos en el piso inferior 
La chambre comprend le lit 				La habitacion incluye la cama 
Vous ne tenez pas 						Usted no cabe 
Lui il livre la nourriture				El entraga comida 
L'enfant est un garçon 					El nino es un nino 
Je comprends à peu près 				Entendo mas o menos 
Elle, elle m'a expliqué sa culture		Ella me explico su cultura
On tombe malade							Caemos enfermos 
Ce sont les travaux finaux dans cette chambre	Son los trabajos finales en este cuarte 
L'eau est sale 							El agua esta sucia 
Nous allons de l'avant 					Vamos hacia adelante 
Je compte sur vous 						Cuento con ustedes 
Lui il apparait la nuit					El aparece en la noche 
Ce n'est définitivement pas la même		No es definitivamente la misma 
Il lave le linge sale 					El lava la ropa sucia 
Actuellement c'est comme çà				Actualmente es asi 
Bien sur que non						Por supuesto que no 
C'est mon bonbon						Es mi dulce 
Ma femme est douce						Mi mujer es dulce 
Ils sont similaires						Son similares 
C'est aussi la plus ancienne			Tambien es la mas antigua 
Aucune d'entre elles n'est vivante		Ninguna de ellas esta viva 
Eux ils ont des documents légaux		Ellos tienen documentos legales 
C'est très simple 						es muy sencillo 
Elle elle est en prison 				ella esta en la carcel 
L'eau est calme							El agua esta calma 
Il ne sait même pas 					El ni siquiera sabe 
La paire 								La par 

******************************************
*** Parler de quantité, parler de pays ***
******************************************

Carolina a plusieurs jupes 				Carolina tiene varias faldas 
Lequel ? 								Cual de todos ? 
Les deus me plaisent 					me gustan ambos 
J'ai encore beaucoup de travail à finir Tengo todovia mucho trabajo que terminar 
L'allemagne est un pays d'Europe		Alemania es un pais de europa 
J'aime bien l'Angleterre				mes gusta Inglaterra 
La chine est en asie					China es en asia 
Personne n'est venu 					Nadie vino 
Je veux quelque chose 					Quiero algo 
Plusieurs mois 							Varios meses 
Lequel ? 								Cual de todos ? 
Doutes tu de moi ? 						Tu dudas de mi ? 
Les deux me plaisent 					Me gustan ambos 
Lui il joue avec les deux 				El juego con ambos 
Il a bu sa bière et en a commandé une autre 	Tomo su cerveza y pidio otra
Laquelle me plaît ? 					Cual de todos me gusta ? 
Vous parlez trop vite pour moi 			Usted habla demiasado rapido para mi
Je ne sais rien 						No sé nada 
C'est pour toi 							es para ti 
Ces sont les robes auxquelles je pense 	Son los vestidas en los que pienso 
Nous ne parlerons pas avec n'importe qui No hablamos con cualquiera 
Lui ce n'est pas un ami quelconque		El no es un amigo cualquiera 
Vois tu les leurs ? 					Ves los suyos ? 
Ces enfants sont les tiens 				Estos ninos son los tuyos 
Où est le mien ? 						En donde esta el mio ?
Je veux les siens 						Quiero les suyos 
Des pommes ? Je n'en ai aucune 			Manzanas ? No tengo ninguna 
Quelque chose							Algo 
Je vais tout te raconter 				Te lo voy a contar todo 
Moi je connais aucune des 2 soeurs		Yo conozco ninguna de las dos hermanas 
Je veux quelque chose à manger 			Quiero algo para comer 
J'aime chacun d'entre eux 				Me gusto cada uno de ellos  
Personne ne comprend pourquoi			Nadie entiende por qué 
Surtout avec une femme 					Sobre todo con una mujer 
Personne n'aime cela 					Nadie le gusta eso 
C'est pour toi 							es para ti 
Quelqu'un mange 						Alguien come 
les uns et les autres me disent quoi manger 	Unos y otros me dicen que comer 
Toi, tu connais l'une des 2 filles ? 	Tu conoces alguna de las chicas ? 
Je ne vois rien 						No veo nada 
Les siens sont ici 						los suyos estan aqui 
Ma cave est différente de la tienne 	Mi sotano es diferente al tuyo 
Où est le mien ? 						en donde esta el mio ? 
C'est ce dont il parle					es de lo que habla 
Il n'est pas du tout jeune 				No es nada joven 
Je veux tout savoir 					Lo quiero saber todo 
Nous avons aimé cet hôtel 				Nos gusta este hotel 
Je suis devenue une femme 				Me volvi una mujer 
Il a plu tout le jeudi 					llovio todo el jueves 
La lettre est à propos des éléphants 	la carta es acerca de los elefantes 
Lui, il a porté mon manteau				El llevo mi abrigo 
S'il te plaît arrête					por favor, para ! 
Je remplis la bouteille d'eau 			Lleno la botella de agua 
Moi j'essaye cela 						Yo initento eso 
Mon père est sorti 						Mi padre salio 
Je suis rentré très tard 				Vovi muy tarde 
Moi non plus je ne peux pas 			Yo tampoco puedo
La fille améliore sa carte 				La chica mejora su carta 
Je l'attends depuis ce matin 			Lo espero desde esta manana 
Lui, il vit dans un village 			El vive en un pueblo 
Lui il ajoute que sa voiture est noire 	El anade que su coche es negro
Elle elle perd un cochon 			  	elle pierde un cerdo 
Nous sommes européens					Somos europeos 
La bourse de paris						La bolsa de paris 
L'homme est britannique					El hombre es britanico 
L'étranger								El extranjero 
Je parle en français					Hablo en francès 
Il vit aujourd'hui princpalement en France Vive hoy en dia principalmente en Francia 
Celle la, elle est pour moi 			Esa es para mi 
Bruno a plusieurs questions				Bruno tiene varias preguntas 
Quelqu'un est ici 						Alguien esta aqui 
Ce qui importe, ce sont mes enfants 	Lo que importa, son mis hijos 
As tu vu la mienne ? 					Viste la mia ? 
Un autre, s'il te plait ? 				Otro, por favor 
C'est une chaîne 						Es una cadena 
L'artiste est un travailleur comme n'importe quel autre El artista es un trabajador como otro calquiera 
Sa mère est américaine 					Su madre es estadounidense 
Les canadiens et les mexicains sont des nord américains 	Los canadienses y los mexicanos sont norteamericanos 
Paul est un nors américain mais il n'est pas américain, il est canadien 	Paul es un norteamericano pero no es estadounidense, es canadiense
Il semble qu'il vive en Angleterre 		Parace que vive en Inglaterra
Il requiert un rendez-vous				Requiere una cita
Elle me croit toujours 					Todovia me cree
Il ne vaut pas beaucoup					No vale mucho 
Ces bottes lui appartiennent 			Estas botas le pertenecen 
Les gens s'expriment 					La gente se expresa 
Barcelone te plaît ? 					Te gusta Barcelona ?  	

**********************************************
*** Indique le chemin, parle de tes études ***
**********************************************

A gauche ou à droite ? 					A la izquierda o a la derecha ?
Moi je tourne à droite					Yo giro a la derecha 
Quelle est ton adresse ? 				Cual es tu direccion ? 
Elle elle est au centre du village 		ella esta en el centro del pueblo 
Nous n'avons pas cours aujourd'hui		No tenemos clase hoy 
Mon frère est étudiant à ll'université 	Mi hermano es estudiante en la universidad
en quelle classe sont les enfants ? 	En qué grado estan los ninos ?
J'aime bien mon école ? 				Mi gusta mi colegio 
C'est la meilleure de sa classe 		Es la mejor de su clase 
Demain j'ai un cours de français 		Manana tengo una clase de frances 
L'entrée 								La entrada
Quelle position ? 						Cual position ?
Il est partout 							Esta en todos lados 
L'arrivée 								La llegada 
Enfin ! 								Por fin ! 
La recherche							La busqueda 
Le voyage est long 						El viaje es largo 
Il s'en va par la sortie				Se va por la salida 
Le sud 									el sur 
Elle est du nord 						Ella es del Norte 
Eux ils nous ont fait des signes 		Ellos nos hacen signales
Les mois sont passés et eux ils ont pris de nouvelles directions 	Los meses pasaron y ellos tomaron nuevos rumbos 
Il est à courte distance du centre ville Esta a corta distancia del centro 
Au sud 									Al sur 
La direction 							El rumbo 
Je vois à bateau à droite 				Veo un barco a la derecha 
Le chat est à côté de la souris 		El gato esta al lado del raton 
Ici où n'importe ou 					Aqui o en calquier lado 
Déjà la fin de l'année					Yo el fin del ano 
Du nord au sud							Del norte al sur 
Elle fait un pas dans le jardin			Da un paso en el jardin 
Je n'ai pas vu le signal				No vi la senal 
Il désire un bon repas					Desea una buena comida 
La journée est calme					el dia es tranquilo 
Je vous demande							Lo pido 
A quelle heure êtes-vous revenu hier soir ? 	A qué hora usted volvio anoche ?
Lui, il me l'a dit						El me lo dijo 
L'élève 								El alumno 
Le degré								El grado 
Les cours 								Los cursos 
Lui, il additionne les nombres			El suma los numerosos 
Etes vous un bon exemple ? 				Es usted un buen ejemplo ?
Je veux être au niveau					Quiero estar al nivel 
La réponse 								La respuesta 
Le titre est gros 						El titulo es grande 
La tâche								La tarea 
Le chapitre 							El capitulo 
L'absence								La ausencia 
J'aime les jeux de mots					Me gustan los juegos de palabras 
La faculté								La facultad 
La section								La seccion 
Est-ce mon prix ? 						Es mi primio ?
La connaissance							la conocimiento 
Je n'ai pas de solutions				No tengo soluciones 
C'est un très bon matériau				Es un muy buen material 
Ce fut comme un prix pour moi 			Fue como un premio para mi 
L'orientation							La orientation 
Déjà la fin de l'année					Ya el fin del ano 
C'est seulement un enfant				Es solo un nino 
J'ai seulement une chaussures			Tengo solamente un zapato 
Les femmes passent l'arrivée en voiture	Las mujeres pasan la llegada en coche 
L'extérieur du bâtiment est sale		El exterior del edificio es sucio 
J'additionne 2 et 2 sans problème		Sumo dos y dos sin problema 
Son absence est difficile				Su ausencia es dificil 
Lui il a une intelligence spéciale		El tiene una inteligencia especiale  
Très bon sujet							Muy buen tema	 
C'est un matériau assez bon				Es un material bastante bueno 
Elle elle est douce envers les enfants	Ella es dulce con los ninos 
Quand sort-il ? 						Cuando sale ? 
Ces bottes lui appartiennent			Estas botas le pertenecen 
Il fait noir depuis						Esta oscuro desde entonces 
Où es tu restée ? 						En donde te quedaste ?
Je vais avoir un enfant					Voy a tener un nino 
Ana va penser que je ne l'aime pas 		Ana va a pensar que no la quiero 
Je me joins à la fête					Me sumo a la fiesta 
Ses études								Sus estudios 
ça n'a rien à voir avec l'intelligence	No tiene nada que ver con la inteligencia 
Comment celà affecte-t-il les étudiants ? 	Como eso afecta a los estudiantes 
Tous l'appelent ainsi à la faculté		Todos lo llaman asi en la facultad 
 
**************************************************
*** Communique au travail, utilise l'infinitif ***
**************************************************

Je n'ai pas le temps 					No tiengo tiempo 
Pourquoi veulent-ils ces changements ?	Por qué quieren esos cambios ?
ça prend trop de temps					Es toma demasiado tiempo 
Ces circonstances sont bonnes			Estas circunstancias son buenas 
Nous, nous parlons de beaucoup de sujets	Nosotros hablamos sobre muchos asuntos 

Je crois qu'il va pleuvoir aujourd'hui	Creo que va a llover hoy 
Où allons nous aller demain ? 			A donde vamos a ir manana 
Nous allons aller au parc				Vamos a ir al parque 
Je ne vais pas t'écrire					No te voy a escribir 
Est-ce que je peux passer ? 			Puedo pasar ? 
Ils vont arriver trop tard 				Van a llegar demasiado tarde 
Je veux une chemise contre une jupe		Quiero una camisa a cambio de una falda 
C'est mon genre ! 						Es mi tipo ! 
C'est l'âge minimal						Es la edad minima
Vous avez plus ou moins le même âge		Tienen mas or menos la misma edad 
Je regarde les oeuvres de ma tante		Miro las obras de mi tia 
Elle elle joue dans de nombreux groupes	Ella toca en numerosos grupos 
Nous nous vivons des temps difficiles	Nosostros vivimos tiempos dificiles 
Elle elle attend ce moment depuis longtemps	Ella espera este momento desde hace mucho tiempo 
La scène 								La escena 
Je sais ton prénom 						Sé tu nombre 
La paix									La paz 
La hauteur								La altura 
Les images 								Las imagenes 
Le mouvement est naturel				El movimiento es natural 
Le danger								El peligro 
L'effet									El efecto 
La qualité								La calidad 
Le programme 							El programa 
Le contenu								El contenido 
Le besoin 								La necesidad 
Voici le code 							Aqui esta el codigo 
Nous nous voyons fréquemment			Nos vemos con la frecuencia 
L'officier								El oficial 
L'objectif								El objectivo 
La pensée 								El pensiamiento 
L'importance							la importancia 
Le résultat								El resultado 
Le jugement								El jucio 
la conscience							la conciencia 
Les personnages							Los personajes 
La croissance							El crecimiento 
Lui il désire avoir des succès			El desea tener exito 
Elle elle l'a fait exprès 				Ella lo hizo a proposito 
L'accès 								El acceso 
Le regard 								la mirada 
L'aspect								El aspecto 
Le début 								El principio 
Eux ils vivent en paix					Ellos viven en paz 
Dans ce pays cette expression ne s'utilise pas 	En ese pais no se usa esa expresion 
Le programme pour aujourd'hui			El programa para hoy 
Le groupe a joué hier					El grupo toco ayer
Celà n'arrive pas fréquemment			Esto no pas con frecuencia 
Même pas une petite pensée				Ni siquiera un pequeno pensamiento 
Moi j'ai eu de mauvais résultats cette année	Yo tuvé malos resultados este ano 
Les caractères chinois sont très beaux	Los caracteres chinos son muy hermanos 
Le livre est à propos du chien			El libro es a proposito del perro 
A cette occasion 						En esta ocasion 
Elle elle est là depuis longtemps		Ella esta aqui desde hace mucho tiempo 
J'ai tout mon temps						Tengo todo el tiempo del mundo 
Les adultes sont majeurs				Los adultos son mayores de edad 
Ceux-là sont des bons hommes			Esos son buenos hombres 
Ceux-ci sont mes chiens					Estos son mis perros 
Moi je hais le café						Yo odio el café 
Eux ce sont 3 amis de moi				Ellos son tres amigos mios 
Elles elles vivent dans cette ville		Ellos viven en esta ciudad 
j'étudie à l'étranger					Estudio en el extranjero 
Ces enfants sont-ils les tiens ?		Estos ninos son los tuyos ? 
Non, excusez-moi						No, disculpe 
Excusez-moi, désolé						Disculpe, lo siento
Enchanté								Mucho gusto 
J'aime dire n'importe quoi				Me gusta decir calquier cosa 
Je veux louer une voiture				Quiero alquilar una coche 
Je lis malgré la nuit					Leo a pesar de la noche
Aujourd'hui je vais le laisser gagner	Hoy le voy a dejar ganar 
Il doit réveiller ses camarades			El tiene que despertar a sus companeros 
Ils doivent cesser de boire 			Tienen que dejar de beber 
Je vais laisser l'argent à la banque 	Voy a dejar la plata en el banco 
Je vais les mettre là-bas				Las voy a poner alli 
Lui il va revenir bientôt				El va a volver pronto 
Tu peux le trouver ici					Lo puedes a encontrar aqui 
Où puis-je le rencontrer ? 				Donde lo puedo encontrar ? 
J'aime bien connaître des gens nouveaux	Me gusta conocer nueva gente 
Il doit attendre						Debe esperar 
Moi je veux comprendre 					Yo quiero entender 
Nous pouvons l'obbtenir					Lo podemos lograr 
Peux-tu l'atteindre						la puedes conseguir
Assez poue entendre mais pas pour comprendre	Bastante para oir pero no para entender 
Je vais t'atteindre						Te voy a alcanzar 
Lui il ne peut pas se rappeler			El no puede recordar 
Elle elle peut essayer d'y aller		Ella puede tratar de ir 
Celà reste à établir					Eso queda por establecer 
